,question,Summary,answer
108,Change column type in pandas,"I want to convert a table, represented as a list of lists, into a pandas DataFrame. As an extremely simplified example: a = [['a', '1.2', '4.2'], ['b', '70', '0.03'], ['x', '5', '0']] df = pd....","Also, unlike .astype(float), this will convert strings to NaNs instead of raising an error"
109,Create a Pandas Dataframe by appending one row at a time,"How do I create an empty DataFrame, then add rows, one by one? I created an empty DataFrame: df = pd.DataFrame(columns=('lib', 'qty1', 'qty2')) Then I can add a new row at the end and fill a single ...",Note this is a very inefficient way to build a large DataFrame; new arrays have to be created (copying over the existing data) when you append a row.
110,How to add a new column to an existing DataFrame?,I have the following indexed DataFrame with named columns and rows not- continuous numbers: a b c d 2 0.671399 0.101208 -0.181532 0.241273 3 0.446172 -0.243316 ...,if your new column depends on your existing column so you can add your new columns as mine below.
111,How to drop rows of Pandas DataFrame whose value in a certain column is NaN,I have this DataFrame and want only the records whose EPS column is not NaN: >>> df STK_ID EPS cash STK_ID RPT_Date 601166 20111231 601166 NaN NaN ...,dropna: pandas.pydata.org/pandas-docs/stable/generated/…
112,"""Large data"" workflows using pandas [closed]","I have tried to puzzle out an answer to this question for many months while learning pandas. I use SAS for my day-to-day work and it is great for it's out-of-core support. However, SAS is horrible ...","Is the ratio core size / full size 1 %, 10 % ? Does it matter -- if you could compress cols to int8, or filter out noisy rows, would that change your compute-think loop from say hours to minutes ? (Also add tag large-data.)"
113,How to deal with SettingWithCopyWarning in Pandas,"Background I just upgraded my Pandas from 0.11 to 0.13.0rc1. Now, the application is popping out many new warnings. One of them like this: E:\FinReporter\FM_EXT.py:449: SettingWithCopyWarning: A value ...",Here's a context manager to temporarily set the warning level gist.github.com/notbanker/2be3ed34539c86e22ffdd88fd95ad8bc
114,Use a list of values to select rows from a Pandas dataframe,"Let’s say I have the following Pandas dataframe: df = DataFrame({'A' : [5,6,3,4], 'B' : [1,2,3, 5]}) df A B 0 5 1 1 6 2 2 3 3 3 4 5 I can subset based on a specific value: ...","How would you return these values in the order of the list? For example, list_of_values has values 3 then 6 but the frame is returned with 6 then 3. I'm not talking about a simple sort, rather how specifically can we return in the order of the values in the list."
115,Convert list of dictionaries to a pandas DataFrame,"I have a list of dictionaries like this: [{'points': 50, 'time': '5:00', 'year': 2010}, {'points': 25, 'time': '6:00', 'month': ""february""}, {'points':90, 'time': '9:00', 'month': 'january'}, {'...",How might one use one of the key/value pairs as the index (eg. time)?
116,Pretty-print an entire Pandas Series / DataFrame,"I work with Series and DataFrames on the terminal a lot. The default __repr__ for a Series returns a reduced sample, with some head and tail values, but the rest missing. Is there a builtin way to ...","The reduced output is due to the default options which you can change using pd.set_option('display.max_rows', 1000) for example, the colouring is something else, I assume you are talking about colouring the html repr output. I don't think this is built in at all."
117,Writing a pandas DataFrame to CSV file,I have a dataframe in pandas which I would like to write to a CSV file. I am doing this using: df.to_csv('out.csv') And getting the following error: UnicodeEncodeError: 'ascii' codec can't encode ...,I would add index=False to drop the index.
118,How do I expand the output display to see more columns of a Pandas DataFrame?,"Is there a way to widen the display of output in either interactive or script-execution mode? Specifically, I am using the describe() function on a Pandas DataFrame. When the DataFrame is five ...",Here is the user guide 'options and settings' from pandas with examples you are looking for.
119,Deleting DataFrame row in Pandas based on column value,I have the following DataFrame: daysago line_race rating rw wrating line_date 2007-03-31 62 11 56 1....,Possible duplicate of How to delete rows from a pandas DataFrame based on a conditional expression
